iter	Passed	Remaining
0	100	100124
1	191	95439
2	265	88206
3	351	87413
4	425	84741
5	560	92778
6	667	94711
7	730	90642
8	786	86617
9	836	82857
10	881	79275
11	932	76761
12	995	75590
13	1044	73528
14	1086	71327
15	1130	69516
16	1172	67776
17	1214	66242
18	1256	64894
19	1299	63685
20	1342	62581
21	1390	61808
22	1440	61195
23	1500	61009
24	1574	61404
25	1657	62093
26	1713	61742
27	1762	61188
28	1817	60864
29	1868	60409
30	1925	60180
31	1978	59837
32	2023	59295
33	2092	59463
34	2162	59615
35	2265	60672
36	2358	61390
37	2445	61905
38	2531	62367
39	2634	63237
40	2725	63749
41	2818	64298
42	2881	64128
43	2943	63962
44	3026	64218
45	3131	64939
46	3211	65118
47	3282	65094
48	3364	65306
49	3445	65463
50	3508	65294
51	3591	65470
52	3675	65669
53	3731	65372
54	3808	65437
55	3892	65622
56	3976	65779
57	4040	65621
58	4089	65230
59	4154	65083
60	4212	64840
61	4271	64630
62	4319	64242
63	4374	63974
64	4417	63547
65	4462	63146
66	4510	62812
67	4558	62479
68	4618	62319
69	4709	62566
70	4787	62648
71	4855	62585
72	4898	62208
73	4949	61936
74	4992	61572
75	5034	61214
76	5077	60869
77	5118	60502
78	5168	60256
79	5235	60207
80	5310	60248
81	5404	60505
82	5481	60563
83	5533	60336
84	5585	60126
85	5633	59875
86	5681	59628
87	5726	59351
88	5770	59064
89	5811	58756
90	5858	58518
91	5901	58243
92	5961	58145
93	6038	58197
94	6161	58692
95	6244	58802
96	6346	59080
97	6414	59043
98	6468	58866
99	6514	58627
100	6577	58548
101	6655	58594
102	6750	58788
103	6885	59319
104	7012	59770
105	7101	59889
106	7251	60523
107	7324	60497
108	7388	60397
109	7452	60293
110	7508	60139
111	7574	60058
112	7638	59958
113	7737	60136
114	7832	60275
115	7910	60283
116	8037	60656
117	8116	60668
118	8230	60930
119	8316	60984
120	8433	61262
121	8568	61663
122	8719	62170
123	8835	62416
124	8909	62365
125	9067	62895
126	9198	63230
127	9322	63507
128	9425	63639
129	9528	63767
130	9693	64299
131	9767	64229
132	9880	64407
133	10016	64733
134	10104	64744
135	10187	64717
136	10283	64778
137	10351	64658
138	10426	64586
139	10510	64562
140	10576	64434
141	10665	64446
142	10778	64597
143	10843	64456
144	10917	64375
145	11009	64396
146	11077	64277
147	11171	64313
148	11314	64619
149	11404	64623
150	11491	64613
151	11571	64554
152	11640	64439
153	11713	64346
154	11789	64271
155	11878	64267
156	11936	64092
157	11998	63941
158	12061	63794
159	12140	63737
160	12223	63697
161	12299	63624
162	12382	63582
163	12483	63635
164	12557	63549
165	12616	63388
166	12678	63238
167	12769	63241
168	12842	63147
169	12920	63081
