Sampling Technique,Model,Accuracy
Sampling1,Model1,0.9310344827586207
Sampling1,Model2,0.9827586206896551
Sampling1,Model3,0.9827586206896551
Sampling1,Model4,0.9741379310344828
Sampling1,Model5,0.9913793103448276
Sampling2,Model1,0.9396551724137931
Sampling2,Model2,0.9827586206896551
Sampling2,Model3,0.9827586206896551
Sampling2,Model4,0.9568965517241379
Sampling2,Model5,0.9827586206896551
Sampling3,Model1,0.8706896551724138
Sampling3,Model2,0.9827586206896551
Sampling3,Model3,0.9396551724137931
Sampling3,Model4,0.9224137931034483
Sampling3,Model5,0.9396551724137931
Sampling4,Model1,0.853448275862069
Sampling4,Model2,0.9655172413793104
Sampling4,Model3,0.9482758620689655
Sampling4,Model4,0.9482758620689655
Sampling4,Model5,0.9568965517241379
Sampling5,Model1,0.896551724137931
Sampling5,Model2,0.9913793103448276
Sampling5,Model3,0.9741379310344828
Sampling5,Model4,0.9568965517241379
Sampling5,Model5,0.9741379310344828
